Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ValidationsForm,Firefox 66.0,,,2019-07-12 17:30:29,2019-07-12 17:31:07,37.266s,INCOMPLETE
,,,,,,,
Test Cases/SET_UP_BROWSER/launch_browser,Firefox 66.0,,,2019-07-12 17:30:30,2019-07-12 17:30:48,17.801s,PASSED
openBrowser(BASE_URL),Firefox 66.0,,,2019-07-12 17:30:31,2019-07-12 17:30:48,16.872s,PASSED
maximizeWindow(),Firefox 66.0,,,2019-07-12 17:30:48,2019-07-12 17:30:48,0.355s,PASSED
,,,,,,,
Test Cases/SIGN_UP/access_sign_up,Firefox 66.0,,,2019-07-12 17:30:48,2019-07-12 17:30:52,4.600s,PASSED
"callTestCase(findTestCase(""LOG_IN/access_log_in""), [:], STOP_ON_FAILURE)",Firefox 66.0,,,2019-07-12 17:30:49,2019-07-12 17:30:50,1.768s,PASSED
"click(findTestObject(""LOG_IN/button_sign-up""))",Firefox 66.0,,,2019-07-12 17:30:50,2019-07-12 17:30:52,1.233s,PASSED
"verifyElementVisible(findTestObject(""GLOBAL/title_h1"", [""txtTitle"":""Beneficios de Registrarse""]))",Firefox 66.0,,,2019-07-12 17:30:52,2019-07-12 17:30:52,0.774s,PASSED
,,,,,,,
Test Cases/SIGN_UP/email_format,Firefox 66.0,,,2019-07-12 17:30:53,2019-07-12 17:30:55,2.313s,PASSED
"verifyElementClickable(findTestObject(""SIGN_UP/button_accept""))",Firefox 66.0,,,2019-07-12 17:30:53,2019-07-12 17:30:53,0.089s,PASSED
"setText(findTestObject(""SIGN_UP/input_email""), ""iart6yopmail.com"")",Firefox 66.0,,,2019-07-12 17:30:53,2019-07-12 17:30:54,0.572s,PASSED
"click(findTestObject(""SIGN_UP/button_accept""))",Firefox 66.0,,,2019-07-12 17:30:54,2019-07-12 17:30:55,0.700s,PASSED
"verifyMatch(xpath(""//label[@class=""error""]"")).getText(), ""Ingresa un email válido"", false)",Firefox 66.0,,,2019-07-12 17:30:55,2019-07-12 17:30:55,0.205s,PASSED
,,,,,,,
Test Cases/SIGN_UP/registered_user,Firefox 66.0,,,2019-07-12 17:30:55,2019-07-12 17:31:02,7.051s,FAILED
"verifyElementClickable(findTestObject(""SIGN_UP/button_accept""))",Firefox 66.0,,,2019-07-12 17:30:56,2019-07-12 17:30:56,0.135s,PASSED
"setText(findTestObject(""SIGN_UP/input_email""), ""iart60910@yopmail.com"")",Firefox 66.0,,,2019-07-12 17:30:56,2019-07-12 17:30:56,0.372s,PASSED
"setEncryptedText(findTestObject(""SIGN_UP/input_password""), ""cNkTP62zox2sjTkN4QiJDw=="")",Firefox 66.0,,,2019-07-12 17:30:56,2019-07-12 17:30:56,0.329s,PASSED
"setText(findTestObject(""SIGN_UP/input_name""), ""IAN"")",Firefox 66.0,,,2019-07-12 17:30:56,2019-07-12 17:30:57,0.191s,PASSED
"setText(findTestObject(""SIGN_UP/input_last-name""), ""ROMERO"")",Firefox 66.0,,,2019-07-12 17:30:57,2019-07-12 17:30:57,0.155s,PASSED
"setText(findTestObject(""SIGN_UP/input_second-last-name""), ""TORRES"")",Firefox 66.0,,,2019-07-12 17:30:57,2019-07-12 17:30:57,0.163s,PASSED
"selectOptionByLabel(findTestObject(""SIGN_UP/select_day""), ""27"", false)",Firefox 66.0,,,2019-07-12 17:30:57,2019-07-12 17:30:57,0.447s,PASSED
"selectOptionByValue(findTestObject(""SIGN_UP/select_month""), ""6"", false)",Firefox 66.0,,,2019-07-12 17:30:57,2019-07-12 17:30:58,0.503s,PASSED
"selectOptionByLabel(findTestObject(""SIGN_UP/select_year""), ""1998"", false)",Firefox 66.0,,,2019-07-12 17:30:58,2019-07-12 17:30:58,0.427s,PASSED
"click(findTestObject(""SIGN_UP/radio_male""))",Firefox 66.0,,,2019-07-12 17:30:58,2019-07-12 17:30:59,0.429s,PASSED
"click(findTestObject(""SIGN_UP/button_accept""))",Firefox 66.0,,,2019-07-12 17:30:59,2019-07-12 17:31:01,2.612s,PASSED
"verifyElementText(findTestObject(""SIGN_UP/txt_alert-error""), ""Esta dirección de Correo Electrónico ya ha sido registrada previamente. Por favor anota una diferente."")",Firefox 66.0,,,2019-07-12 17:31:01,2019-07-12 17:31:02,0.177s,PASSED
"sendKeys(findTestObject(""SIGN_UP/txt_alert-error""), Keys.chord(ESCAPE))",Firefox 66.0,,,2019-07-12 17:31:02,2019-07-12 17:31:02,0.284s,FAILED
,,,,,,,
Test Cases/SIGN_UP/empty_form,Firefox 66.0,,,2019-07-12 17:31:02,2019-07-12 17:31:03,1.117s,FAILED
"verifyElementClickable(findTestObject(""SIGN_UP/button_accept""))",Firefox 66.0,,,2019-07-12 17:31:03,2019-07-12 17:31:03,0.069s,PASSED
"click(findTestObject(""SIGN_UP/button_accept""))",Firefox 66.0,,,2019-07-12 17:31:03,2019-07-12 17:31:03,0.212s,FAILED
,,,,,,,
Test Cases/SET_UP_BROWSER/close_browser,Firefox 66.0,,,2019-07-12 17:31:03,2019-07-12 17:31:07,3.538s,PASSED
closeBrowser(),Firefox 66.0,,,2019-07-12 17:31:04,2019-07-12 17:31:07,3.156s,PASSED
