Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SuccessSignUp,Firefox 66.0,,,2019-07-10 20:28:49,2019-07-10 20:29:36,47.015s,INCOMPLETE
,,,,,,,
Test Cases/SET_UP_BROWSER/launch_browser,Firefox 66.0,,,2019-07-10 20:28:50,2019-07-10 20:29:09,18.526s,PASSED
openBrowser(BASE_URL),Firefox 66.0,,,2019-07-10 20:28:51,2019-07-10 20:29:08,16.824s,PASSED
maximizeWindow(),Firefox 66.0,,,2019-07-10 20:29:08,2019-07-10 20:29:09,0.598s,PASSED
,,,,,,,
Test Cases/LOG_IN/access_log_in,Firefox 66.0,,,2019-07-10 20:29:09,2019-07-10 20:29:13,4.016s,PASSED
"click(findTestObject(""HOME_PAGE/Header/button_login""))",Firefox 66.0,,,2019-07-10 20:29:10,2019-07-10 20:29:12,1.774s,PASSED
"waitForElementVisible(findTestObject(""LOG_IN/iframe_log-in""), 3)",Firefox 66.0,,,2019-07-10 20:29:12,2019-07-10 20:29:13,0.647s,PASSED
,,,,,,,
Test Cases/SIGN_UP/access_sign_up,Firefox 66.0,,,2019-07-10 20:29:13,2019-07-10 20:29:16,3.659s,PASSED
"click(findTestObject(""LOG_IN/button_sign-up""))",Firefox 66.0,,,2019-07-10 20:29:14,2019-07-10 20:29:15,1.437s,PASSED
"verifyElementVisible(findTestObject(""GLOBAL/title_h1"", [""txtTitle"":""Beneficios de Registrarse""]))",Firefox 66.0,,,2019-07-10 20:29:15,2019-07-10 20:29:16,1.181s,PASSED
,,,,,,,
Test Cases/SIGN_UP/success_sing_up,Firefox 66.0,,,2019-07-10 20:29:16,2019-07-10 20:29:31,14.566s,FAILED
random = new java.util.Random(),Firefox 66.0,,,2019-07-10 20:29:17,2019-07-10 20:29:17,0.053s,PASSED
rand = random.nextInt(100),Firefox 66.0,,,2019-07-10 20:29:17,2019-07-10 20:29:17,0.003s,PASSED
"verifyElementClickable(findTestObject(""SIGN_UP/button_accept""))",Firefox 66.0,,,2019-07-10 20:29:17,2019-07-10 20:29:18,0.262s,PASSED
"setText(findTestObject(""SIGN_UP/input_email""), ""iart"" + rand + ""@yopmail.com"")",Firefox 66.0,,,2019-07-10 20:29:18,2019-07-10 20:29:18,0.614s,PASSED
"setEncryptedText(findTestObject(""SIGN_UP/input_password""), ""cNkTP62zox2sjTkN4QiJDw=="")",Firefox 66.0,,,2019-07-10 20:29:18,2019-07-10 20:29:19,0.439s,PASSED
"setText(findTestObject(""SIGN_UP/input_name""), ""IAN"")",Firefox 66.0,,,2019-07-10 20:29:19,2019-07-10 20:29:19,0.213s,PASSED
"setText(findTestObject(""SIGN_UP/input_last-name""), ""ROMERO"")",Firefox 66.0,,,2019-07-10 20:29:19,2019-07-10 20:29:19,0.259s,PASSED
"setText(findTestObject(""SIGN_UP/input_second-last-name""), ""TORRES"")",Firefox 66.0,,,2019-07-10 20:29:19,2019-07-10 20:29:19,0.225s,PASSED
"selectOptionByLabel(findTestObject(""SIGN_UP/select_day""), ""27"", false)",Firefox 66.0,,,2019-07-10 20:29:19,2019-07-10 20:29:20,0.595s,PASSED
"selectOptionByValue(findTestObject(""SIGN_UP/select_month""), ""6"", false)",Firefox 66.0,,,2019-07-10 20:29:20,2019-07-10 20:29:21,0.474s,PASSED
"selectOptionByLabel(findTestObject(""SIGN_UP/select_year""), ""1998"", false)",Firefox 66.0,,,2019-07-10 20:29:21,2019-07-10 20:29:21,0.661s,PASSED
"click(findTestObject(""SIGN_UP/radio_male""))",Firefox 66.0,,,2019-07-10 20:29:21,2019-07-10 20:29:22,0.386s,PASSED
"click(findTestObject(""SIGN_UP/button_accept""))",Firefox 66.0,,,2019-07-10 20:29:22,2019-07-10 20:29:27,4.905s,PASSED
"verifyElementText(findTestObject(""LOG_IN/select_profile""), ""ian"")",Firefox 66.0,,,2019-07-10 20:29:27,2019-07-10 20:29:31,4.324s,FAILED
,,,,,,,
Test Cases/SET_UP_BROWSER/close_browser,Firefox 66.0,,,2019-07-10 20:29:31,2019-07-10 20:29:36,5.335s,PASSED
closeBrowser(),Firefox 66.0,,,2019-07-10 20:29:32,2019-07-10 20:29:36,4.478s,PASSED
